Row,calcarine,insula,cingulate,pos,central,precentral,cos,sts,postcentral,sfs,ips,loc,ifs,ots,its
bb02_mri0_mask,23.3388994361982,11.606683960166,12.3690822444218,20.4963088058126,16.1359748813069,16.0801557305727,11.333450058368,14.493008896361,12.5472496915132,15.2295298854408,20.7242516154954,14.2772097677814,13.8399540070264,15.3055435029519,9.46477447634441
bb02_mri3_mask,27.823974364306,14.0436521200782,15.3882300060808,25.5129924963759,18.6044450738044,20.9861279666727,17.3599724440828,17.0683570653316,15.3368391563433,22.3509972852877,24.5083390504623,17.5013533855982,16.1420584864643,19.5977271035379,11.3164535682047
bb02_mri6_mask,26.4069876554036,16.2643914851272,16.5880715859871,29.0950275117063,19.1637209524863,24.4223323339509,17.9961949015115,20.0152098419835,16.3394544011402,35.8927312271907,26.7869884764623,20.8153652599031,23.2367889271625,22.8604620930762,12.5259245210214
bb04_mri0_mask,25.6120972161353,12.8195404804667,12.0978000006072,19.6673991285856,16.2221251599827,15.2643790754296,19.463012606741,16.3935199033538,15.4730900989123,15.3222709682259,19.5832905757312,18.4200233476924,11.6500741088379,13.7856476977238,10.6433391720372
bb04_mri6_mask,24.4591790042205,15.1738447451793,15.5573470660146,26.1413806298094,18.6192975303829,20.161961120024,14.8664156771863,20.7823459385587,19.839285112618,21.4120174427693,27.465535188823,23.2716020350744,17.4221236253012,16.0135764734915,15.6345339994589
bb05_mri0_mask,20.98898870734,11.7901804788608,12.7071310104732,15.4156253527323,15.0741526900809,17.5700070275025,19.0956307427168,18.4710650819853,13.6686232969464,16.4507412332059,21.0222198817564,12.1493846323213,13.7728197732539,18.0988428622006,12.1195889244583
bb05_mri3_mask,18.2612753281889,13.4480263960655,14.2064344792256,19.6277032378859,19.2457234612205,24.8680947017283,18.1894213803913,20.879303776769,15.4332746716897,19.8817400299837,28.3388936174941,13.2070177100855,18.4559298531014,16.7723209415122,15.9525691836323
bb05_mri6_mask,24.5593025609503,14.0632172657204,16.0414779189702,21.9539447897709,18.5720013532946,25.3831461067694,24.6668586095074,23.3626348733716,17.4566963091311,24.1672056179649,30.6196991109243,12.1587867494047,21.1129835889557,15.7102459434987,16.9283375275787
bb07_mri0_mask,20.6158405629201,12.1010388300379,11.69172557129,22.1263017082413,14.0476686141305,13.3005642921584,10.1052869125651,14.2452132319715,13.5060199815787,20.8018469781881,16.3764948339233,13.2275113235833,12.1395699730225,18.5043343961414,9.38354868658084
bb07_mri3_mask,24.4773629307422,13.6024583016453,13.214261997285,26.8611536619746,16.1244030450377,16.1927553549254,14.4044476489988,16.7387260772939,15.8894592092607,31.9962260601503,19.624245804063,17.9637460031279,13.6477715222589,19.9978806262803,12.7455027038541
bb07_mri6_mask,25.6943803540963,14.7127367464295,14.1896045066086,22.5407759202493,15.3556077348785,18.1725560201509,19.6161150339831,18.2550455978527,17.8320193643606,36.3191033875214,23.1370020493468,19.0178988170884,16.8981782910348,21.9524297721056,15.0498746584284
bb11_mri0_mask,25.4509288149949,11.8493384205227,10.8301077416491,17.1935924978709,13.7902888472674,12.7707236279138,7.49474919330609,12.2265802015601,12.9752809284045,15.5290639372694,16.3599185847655,9.72249892543718,13.2401488806091,10.9925855966877,7.90788179142074
bb11_mri3_mask,27.1156857357347,14.3714987719271,13.1390403584906,18.5089413808129,16.1413152316913,14.9501619682556,9.40851880339241,13.9940451775788,16.9320020942154,17.8961752597164,30.4313601858827,10.7328961229121,16.2557415049692,12.447650175735,10.5230087474951
bb11_mri6_mask,30.2357507263145,16.3206320144742,14.8475347766536,20.5264710876885,17.1332605475315,17.2224664115348,19.4512083691294,16.1613797190442,18.8705752777677,28.848064144251,36.5060600149044,11.4816397657706,19.6982536868055,12.8696208737092,12.1644612582905
bb12_mri3_mask,19.6327541627808,14.6278013736288,14.8350659587633,25.229311099143,20.3207160892595,23.6795755969651,21.2260026410948,22.966460503467,21.2457125450539,19.8139505815302,33.1628500960584,13.0717602700224,17.0832342500706,16.2398668682164,15.3394489631096
bb12_mri6_mask,19.8243634381647,13.8654371821159,15.5696318155587,28.5767509846372,20.5487845272414,25.1002248725134,28.550631044142,24.2072380740902,22.6663102675107,20.2186853079778,34.6857802177212,15.8913848603589,16.3049780402794,31.3389620062961,16.3372637646889
bb14_mri0_mask,20.7008308422761,13.1262335024093,13.2382447945725,21.1090019322127,15.2427736299453,15.6845948653765,10.4315554177764,18.4552922623435,15.7332909553191,16.4101775491257,19.8068045224921,13.1659904623939,17.539440968154,13.7099201470696,9.64411282187891
bb14_mri3_mask,21.7321117585903,14.4166240499289,14.5949696345091,24.1849213458846,16.88839568688,17.8694526589572,25.2143475100068,20.1607128242686,19.2824922538384,18.5821361464404,22.3090582838012,16.4449910689556,23.6256514506472,15.9861131813916,10.6851185528883
bb14_mri6_mask,23.7897855237235,14.2767437760697,14.7805437035169,25.3213770193534,18.4094527598409,19.0349292279737,26.3349424209599,20.9662338945788,19.1863269409316,20.1248887486806,21.8331275841821,16.0767376164605,25.3803312263158,17.6688100862928,12.136731894169
bb15_mri3_mask,21.9266788863337,15.2369134857125,13.994316647913,20.4192542922301,20.4727336485609,14.59893929088,21.2173142936037,23.0556862716196,21.0658998916995,34.1056787630654,24.4684837629034,17.3091525973323,15.1032390959603,12.9091671747979,13.4863385962002
bb17_mri0_mask,17.8249317475613,12.1044086801946,13.0697786937353,16.1237639263012,16.2600348572323,15.2147214895389,25.919560111547,17.0125665306559,13.8995105933475,24.0588488672648,22.214571793672,12.7739695992139,14.1720901001269,23.6575696272343,10.8199635042035
bb19_mri6_mask,36.2210860348959,16.0466543365994,14.3566861589761,24.7867755183124,19.2991821496285,26.179458367487,25.5959149134332,20.8688133698577,16.0686605710163,19.8963958781952,27.0679085092792,22.2781933625412,25.3296633819138,32.2620711145474,15.7859759848623
bb22_mri0_mask,26.0283978138271,13.5739130817807,13.2127715838237,29.7677692807618,16.3017284044524,18.2910981937189,11.0175163660037,16.3523020092494,19.8441822453081,14.7362117701332,21.9324032145148,20.4423506797355,16.313090891235,19.0527127002391,12.8085663572834
bb24_mri3_mask,18.2947194218841,14.9480130771931,16.9981945326517,26.0126735309834,19.5489716056537,18.3377690516705,23.7646405253103,20.2171289704547,20.2659510930928,40.2208042047407,21.4956698469267,15.3657636691337,15.8060493961945,20.581929377246,10.5180382920482
bb27_mri0_mask,16.2428701097253,12.6356525950544,12.6043394782405,21.5433127870626,17.257074817841,21.1143576151099,22.7418433099724,19.0124859072771,14.1741084206673,18.9607489214402,23.6497521920338,12.3623737597515,12.7565962862465,23.3351675204291,9.69065023746583
bb28_mri3_mask,29.4577544060595,13.1288984452144,14.7625609113776,34.6835501677274,19.6345426629692,19.702389557175,14.056596339674,21.8312195067059,21.2537399198278,28.084194424362,25.5278249783803,14.5060349690711,20.022707622774,12.1459685467024,13.066974017958
bb28_mri6_mask,30.5882511514557,15.709857565438,16.6047884961027,33.1482400535902,18.5533248787493,21.0732712357035,13.8889073207219,21.9705028121283,19.9675170397593,24.3559560519227,29.0940016804048,15.6566763434599,19.1816437732197,18.6502811733768,16.4503431873595
bb28_mri12_mask,33.9811095898514,16.8229648543111,18.039326739647,33.3885357042308,20.1652041017523,22.4370278542167,13.7771552655112,23.1505525962759,21.3551446438716,26.1876056068718,31.752336662636,14.8664266371256,19.2623915162744,14.5954216888474,17.060804755302
