Row,calcarine,insula,cingulate,pos,central,precentral,cos,sts,postcentral,sfs,ips,loc,ifs,ots,its
bb02_mri0_mask,2.48296070098877,2.33888912200928,2.24645948410034,2.42062520980835,2.26059794425964,2.1884069442749,1.95831871032715,2.20671629905701,2.02023792266846,2.05145454406738,2.1960277557373,2.0003490447998,2.40391039848328,2.2694833278656,2.37691426277161
bb02_mri3_mask,2.27317452430725,2.24387812614441,2.25727677345276,2.28753733634949,2.29653191566467,2.30717825889587,2.00846743583679,2.32447028160095,2.10949277877808,2.14155316352844,2.19319319725037,2.2588222026825,2.31920075416565,2.18390083312988,2.16247010231018
bb02_mri6_mask,2.56166243553162,2.50777816772461,2.32734870910645,2.4398889541626,2.30285716056824,2.41548800468445,2.18769812583923,2.42481374740601,2.22490978240967,2.43884372711182,2.37221360206604,2.36661338806152,2.35784029960632,2.37733936309814,2.3179144859314
bb04_mri0_mask,2.34882211685181,2.43717789649963,2.17773056030273,2.32063865661621,2.21011185646057,2.23244619369507,2.07978320121765,2.37029194831848,2.14342737197876,2.24130058288574,2.25582981109619,2.3358895778656,2.23578667640686,2.25522947311401,2.34428977966309
bb04_mri6_mask,2.54815793037415,2.91693568229675,2.51642394065857,2.60571980476379,2.38602209091187,2.51884293556213,2.24248838424683,2.65220141410828,2.35139584541321,2.28378129005432,2.60081338882446,2.49405169487,2.40478110313416,2.43322467803955,2.50762534141541
bb05_mri0_mask,2.3957085609436,2.84857082366943,2.24030637741089,2.32795977592468,2.28623080253601,2.27431273460388,1.99776744842529,2.10007190704346,2.28209543228149,2.11085653305054,2.17850351333618,2.08749389648438,2.19621896743774,2.14145445823669,2.05352640151978
bb05_mri3_mask,2.57378792762756,2.81782531738281,2.35134863853455,2.56852650642395,2.61762619018555,2.39710712432861,2.12251663208008,2.48790526390076,2.35040283203125,2.27632880210876,2.2691535949707,2.13008117675781,2.38275933265686,2.4276556968689,2.41107559204102
bb05_mri6_mask,2.56883931159973,3.41845154762268,2.56349515914917,2.71621346473694,2.53061652183533,2.62311792373657,2.32813024520874,2.61554551124573,2.72605228424072,2.50802254676819,2.36695313453674,2.30425071716309,2.3603355884552,2.51243686676025,2.60870385169983
bb07_mri0_mask,2.57960963249207,2.4722421169281,2.40040993690491,2.60929036140442,2.35981559753418,2.45236206054688,2.11371612548828,2.40480375289917,2.33803272247314,2.28615784645081,2.31193399429321,2.27898120880127,2.1415069103241,2.44327521324158,2.54757475852966
bb07_mri3_mask,2.60973286628723,2.57216501235962,2.33619356155396,2.45333385467529,2.51454567909241,2.49223208427429,2.27660393714905,2.49515151977539,2.37234854698181,2.34201455116272,2.42762136459351,2.25071096420288,2.28943657875061,2.38130164146423,2.41576361656189
bb07_mri6_mask,2.36030673980713,2.71864891052246,2.50029516220093,2.60156726837158,2.23023414611816,2.57046294212341,2.5570981502533,2.58112668991089,2.55389070510864,2.55695056915283,2.57550501823425,2.03998374938965,2.37619280815125,2.83950328826904,2.55167460441589
bb11_mri0_mask,2.16338276863098,2.25303387641907,2.1080367565155,2.34547138214111,2.14394545555115,1.93813920021057,2.27231240272522,2.12245559692383,1.82886874675751,2.03651833534241,1.97029995918274,2.06435608863831,2.26629877090454,2.26290726661682,2.13340044021606
bb11_mri3_mask,2.90128016471863,2.83482837677002,2.4089138507843,2.81242084503174,2.57724189758301,2.40692067146301,2.42383885383606,2.42286109924316,2.24669051170349,2.40443754196167,2.38051176071167,2.36215686798096,2.44238018989563,2.49913835525513,2.34775352478027
