Row,calcarine,insula,cingulate,pos,central,precentral,cos,sts,postcentral,sfs,ips,loc,ifs,ots,its
bb02_mri0_mask,2.38382720947266,2.35974097251892,2.28961253166199,2.32787609100342,2.32090258598328,2.22209048271179,1.78290975093842,2.1831967830658,2.15211129188538,2.10657835006714,2.02711582183838,2.09300827980042,1.96906125545502,2.11836910247803,2.54207062721252
bb02_mri3_mask,2.22866272926331,2.25325417518616,2.22384309768677,2.29466676712036,2.19970417022705,2.25223898887634,2.06322598457336,2.24016857147217,2.19835162162781,2.20497703552246,2.14527773857117,2.33773231506348,2.21897840499878,2.19997382164001,2.46387434005737
bb02_mri6_mask,2.26938724517822,2.44579362869263,2.36033248901367,2.4114556312561,2.29494309425354,2.26206183433533,2.1662061214447,2.36755514144897,2.30171394348145,2.34599375724792,2.30016374588013,2.52512884140015,2.16160345077515,2.2977147102356,2.40780019760132
bb04_mri0_mask,2.14456820487976,2.50599384307861,2.36173677444458,2.41154003143311,2.19276809692383,2.20104908943176,2.04666018486023,2.35401272773743,2.15733337402344,2.08065581321716,2.14600467681885,2.21150159835815,2.10283875465393,1.98618137836456,2.32687592506409
bb04_mri6_mask,2.28090572357178,2.87783098220825,2.42012977600098,2.66845297813416,2.40429377555847,2.61878800392151,2.37184429168701,2.4943859577179,2.41070890426636,2.444988489151,2.30587315559387,2.42493391036987,2.28405046463013,2.25949287414551,2.41457414627075
bb05_mri0_mask,2.3496036529541,2.4525420665741,2.30250406265259,2.3720178604126,2.26269841194153,2.26060080528259,1.7757328748703,2.11310219764709,2.14916920661926,2.19461035728455,2.1439528465271,2.04003167152405,2.01380348205566,1.94147229194641,2.24177742004395
bb05_mri3_mask,2.79596400260925,2.58069539070129,2.40099906921387,2.45499801635742,2.6276478767395,2.34775447845459,2.06162643432617,2.21535444259644,2.21713399887085,2.57635712623596,2.27854323387146,2.15150141716003,2.24951481819153,2.29982900619507,2.36561012268066
bb05_mri6_mask,2.35637712478638,2.87673568725586,2.51818537712097,2.52131819725037,2.64877414703369,2.623783826828,2.21464276313782,2.34869766235352,2.39914870262146,2.63858151435852,2.42688894271851,2.32213759422302,2.54130840301514,2.47219252586365,2.52879524230957
bb07_mri0_mask,2.67986512184143,2.45819878578186,2.30275535583496,2.39726448059082,2.37984275817871,2.45025229454041,2.19068694114685,2.28282403945923,2.39405083656311,2.37002182006836,2.37691259384155,2.40710425376892,2.18280601501465,2.18623113632202,2.25129866600037
bb07_mri3_mask,2.5151093006134,2.45202732086182,2.43703103065491,2.54514026641846,2.57474374771118,2.49634671211243,2.19193887710571,2.36492490768433,2.45569896697998,2.4120774269104,2.45613169670105,2.33425951004028,2.31237936019897,2.18732929229736,2.27704238891602
