Row,calcarine,insula,cingulate,pos,central,precentral,cos,sts,postcentral,sfs,ips,loc,ifs,ots,its
bb02_mri0_mask,21.632567417375,12.9392020291067,12.751073452857,13.7446932451544,14.8071049166414,15.9603355947911,8.09789015922998,13.7604603767726,12.3995773371824,14.4651365580596,17.3182610819404,14.4238712728381,15.7091442537129,11.478404632606,12.7157876284927
bb02_mri3_mask,33.0611155214486,14.6326884869687,16.6368113239294,16.4601340800912,17.9335008925,19.1659424132434,13.5404944206851,16.9072397230323,15.0630447973359,24.1318647881484,21.7032062768402,19.7486320434465,21.8109841154634,20.4696005293592,17.6516238553377
bb02_mri6_mask,33.0027708384339,16.8592355694568,18.204115465327,20.6499918369371,22.4675067281218,19.8787764541465,17.7999638657794,23.9035620967912,15.6198312205156,27.9580373617177,20.508111684011,22.9128008465543,23.9618310461065,17.1693278564618,20.869030885954
bb04_mri0_mask,27.15295712909,13.4753697047637,13.7305083072407,21.46426719049,18.8395699320664,15.4963363377282,10.3024636710081,22.434668922696,11.4030680664057,17.1676473958391,16.6138161783358,9.95835147261121,14.0974667883975,16.1551512439544,14.0482418094966
bb04_mri6_mask,28.4869634041591,15.7559231636247,17.7470946391477,28.8941997934039,22.8520300483658,21.4092910909832,12.3909802028696,33.4560467166736,16.2462664231827,23.904426198508,17.0083881642433,15.7812309118849,19.2411062730796,14.1159259886026,17.766653195656
bb05_mri0_mask,21.2217808633931,13.2197002863171,13.4282530401199,24.1883261073575,20.9119232580852,15.8380054037983,10.705202045522,20.8480240374847,11.7889314657924,16.3962240422034,20.3634647617584,13.7046213219512,19.7701806747112,14.240965207533,13.2284872370129
bb05_mri3_mask,22.1301992476671,14.9031975021063,15.8938510436687,27.3016669137973,24.3731402763351,23.6353344776212,11.4706793508828,22.310762068384,12.8623813867115,19.1682238817619,24.2339587990806,12.5853683470776,20.9149171041365,15.2193251767559,14.8775148391231
bb05_mri6_mask,25.2359627002256,15.1771462130255,16.6164168685585,29.6755344082233,19.0096954552582,20.8575696801523,13.9429305097946,20.5895344696773,14.313405689016,22.1117378260371,28.1241809662107,19.3530473014967,21.9309141663203,19.4300993758596,16.7297525662008
bb07_mri0_mask,23.0411957216593,13.1695656686508,13.2898347020038,22.6206718014125,14.2467505223973,17.5008663521976,12.4359032610786,15.0023906507582,11.1323915355423,13.7416680048886,19.3823486613604,11.8278582245104,14.473038179949,16.0792658998828,12.2568689691055
bb07_mri3_mask,23.0114263655921,15.0516872241605,16.600602076674,25.2143198358466,16.4089252211851,23.2884463357678,11.4425702989321,18.4232102101876,13.631580725692,19.678310876716,23.5433634072571,14.5236347849141,18.0816478237883,15.4436521353356,14.4383289636996
bb07_mri6_mask,26.5418096591726,15.864481762372,15.8719075148177,26.2612285416521,18.9820474648368,25.2707959847349,18.9299706427777,25.4165875465484,14.612002739206,21.0302645572816,21.9597031253278,13.0160822374667,20.2556777099147,16.4607802052044,16.5937024611429
bb11_mri0_mask,37.1854965038083,13.1139019198863,14.1907268351251,22.533191402717,15.2419157767528,13.9600459484517,10.7560738354067,14.018977587339,12.2406230504862,13.0169078150413,16.8679978096045,10.2966465554989,15.2687047202587,24.4732252601316,12.0561367832342
bb11_mri3_mask,27.1463235315508,14.1703135805732,13.2308897645896,17.3012170173735,17.2230332782786,16.1027265737676,9.66574908335428,15.7947908710403,16.3926729551572,15.7136397290861,21.3481367877942,10.5374637068014,16.7825820684557,14.45871230727,12.9445709856587
bb11_mri6_mask,32.9351305426792,15.875166931167,14.7434507422374,21.6932633571883,18.2921518121222,16.9030049697982,15.8084378549412,19.86731109197,18.3874081750425,20.4369012522652,23.8094605502843,14.2542347710978,20.975811474539,24.5720857467404,14.9705755733927
bb12_mri3_mask,30.548554633241,12.9752854764808,16.8734303790652,29.7222901667429,23.4452605487207,22.0610805989881,10.342725217859,23.7337456570828,18.7550091049761,15.0250491469944,27.483984518051,13.5162807875119,22.8958963840744,16.2803185679299,16.3916423571621
bb12_mri6_mask,23.5309698957308,13.793378823247,17.5444482541782,30.1455639845053,19.6488643606207,22.9772844323264,24.3693913099326,20.2603294235925,19.4643491415888,15.7014986909947,28.6636125627362,14.9059044011092,22.9159260951062,20.9528138430499,20.8318876877924
bb14_mri0_mask,31.1273106728149,13.7555230603956,15.7387862614653,21.2839443472982,17.2011891744473,17.0837160872146,9.45835009461045,17.7775476115237,14.3778465325344,15.5735192558839,22.8897631872901,12.1853259671643,15.1135725613643,15.6810509088832,15.8042187926649
bb14_mri3_mask,22.9521654396797,15.6457837729942,17.5410153275146,23.226759487258,18.7685915985295,20.9468670646239,10.8926055961784,19.0728403745056,16.2046556988778,17.3445337538719,25.6607277844076,14.0499977625973,16.6868370549912,20.4006434392241,17.6708440590313
bb14_mri6_mask,27.7580767917506,16.1597548068196,18.7768615423676,26.8691655657688,22.90792201342,23.564244722042,12.643776376607,25.7149538676295,18.1367405827444,20.0448446275295,28.216280849302,16.118667263508,19.0391753992915,17.4515746352827,19.9223286517549
bb15_mri3_mask,23.4388891212447,16.5621039834535,16.3966020123213,22.9601562211322,18.5649448086512,18.3735972862783,21.3995225994186,19.1115597280958,17.1721834259059,17.4718143700638,25.090384412551,10.9440185562078,21.7676148904083,22.5896011447099,19.5481939430181
bb17_mri0_mask,21.0379754972154,13.718514037425,20.5416314095652,20.0112881170527,18.6017612258092,17.8499552656027,17.690268476074,18.9617140576044,14.8749943462734,16.0816694588108,25.4858023368004,11.7685404649941,18.3386266507168,25.0260788603397,20.0755681239409
bb19_mri6_mask,27.8758538436197,16.0652242655528,16.317051253508,25.5071590463362,17.4906926809787,23.796437176561,27.5086888617413,20.6579428405223,17.5055571377297,20.0698721806055,22.6945965354687,17.5084188464594,17.602061603069,21.5148590455446,23.3805299142557
bb22_mri0_mask,21.5282937348106,12.1002150105059,14.7810353798021,23.2538480293464,15.1916829277386,19.8351777396658,12.6713623698644,17.2492002550028,13.9307714684911,15.0989961659197,20.7004749259656,13.9205414642803,14.7345678327363,16.2192007441829,18.4639729066009
bb24_mri3_mask,23.9209571855955,17.0983655185064,19.1075232336117,26.7124285783061,17.204299331762,21.7034327818458,12.419321196732,18.5479131308606,16.7139095689066,26.7366837878067,20.2738653490822,22.0580729662813,23.1369253708408,26.9676601349281,17.8719452326129
