"","SulcalDepth","SulcalWidth","Curvature","R1_gray","Thickness","AgeCat","ROI"
"1",0.77445677374843,0.344005335815738,0.277777777777778,0.272190742391475,0.460203470975464,"1m","calcarine"
"2",0.809009148777429,0.598126916600199,0.323232323232323,0.357469169352346,0.313584679832436,"2m","calcarine"
"3",0.866844369454809,0.507701998844075,0.232323232323232,0.510009912783613,0.523638539796529,"2m","calcarine"
"4",0.584883863342261,0.350960726297465,0.272727272727273,0.293154569197435,0.358467983243567,"1m","calcarine"
"5",0.696619475456676,0.500928887348061,0.222222222222222,0.434674901924352,0.473967684021544,"2m","calcarine"
"6",0.664263332498098,0.262936711214069,0.247474747474747,0.210970016542479,0.388988629563136,"1m","calcarine"
"7",0.592206230696753,0.303901639298897,0.126262626262626,0.361072195933871,0.454817474566128,"2m","calcarine"
"8",0.642494181265516,0.40038470546554,0.176767676767677,0.447260895186551,0.481747456612807,"2m","calcarine"
"9",0.60576788422149,0.350158297628728,0.227272727272727,0.461873038817963,0.508078994614004,"2m","calcarine"
"10",0.574561475519437,0.364872280243819,0.247474747474747,0.364906486342639,0.508677438659485,"2m","calcarine"
"11",0.591730096326976,0.36273951627625,0.227272727272727,0.410658811228762,0.33572710951526,"2m","calcarine"
"12",0.91890174959386,0.631248533739613,0.575757575757576,0.292863925397762,0.18132854578097,"1m","calcarine"
"13",0.995746662428805,0.464577953666206,0.196969696969697,0.315142556696835,0.644524236983842,"2m","calcarine"
"14",0.918813063269488,0.539362765943669,0.217171717171717,0.451025344550945,0.41771394374626,"2m","calcarine"
"15",0.651329688557384,0.451306138181023,0.257575757575758,0.397375548815712,0.364452423698384,"2m","calcarine"
"16",0.683887662097469,0.38832085054753,0.196969696969697,0.497533906946518,0.359066427289048,"2m","calcarine"
"17",0.448739644377691,0.532441185105143,0.232323232323232,0.228433275868613,0.237582286056254,"1m","calcarine"
"18",0.474069410473128,0.370975466539303,0.237373737373737,0.414598067841649,0.271095152603232,"2m","calcarine"
"19",0.495153460460207,0.383730701379437,0.217171717171717,0.555142333209235,0.424895272292041,"2m","calcarine"
"20",0.747690013034192,0.373642720652107,0.252525252525253,0.375340307580867,0.463794135248354,"2m","calcarine"
"21",0.712207194443022,0.255372409250369,0.262626262626263,0.32023505469707,0.262118491921005,"1m","calcarine"
"22",0.856235760626143,0.477576268650982,0.191919191919192,0.511705831925295,0.450029922202274,"2m","calcarine"
"23",0.719867262405064,0.336813781629222,0.287878787878788,0.321382580265094,0.301017354877319,"1m","calcarine"
"24",0.742074717787142,0.368615796308207,0.186868686868687,0.422644692575032,0.289646918013166,"2m","calcarine"
"25",0.592738556136486,0.228416966340112,0.237373737373737,0.247469713898733,0.430281268701376,"2m","calcarine"
"26",0.538908628648451,0.471993326026086,0.166666666666667,0.388351322525994,0.338120885697187,"2m","calcarine"
"27",0.714810344074758,0.430650972856353,0.212121212121212,0.516185394835562,0.52064631956912,"3m","calcarine"
"28",0.698380937160417,0.523980179583078,0.207070707070707,0.621359300228798,0.563135846798324,"4m","calcarine"
"29",0.844052416223869,0.367458009345446,0.308080808080808,0.248835397135454,0.323159784560143,"1m","calcarine"
"30",0.762990610277867,0.680998261531864,0.277777777777778,0.489401271293637,0.44524236983842,"2m","calcarine"
"31",0.795845544065327,0.540028870619661,0.252525252525253,0.623985008238498,0.435667265110712,"4m","calcarine"
"32",0.852356706596937,0.459839373143164,0.191919191919192,0.474099384496066,0.259126271693597,"2m","calcarine"
"33",0.855863624670913,0.385622728195627,0.126262626262626,0.52603792613573,0.116098144823459,"2m","calcarine"
"34",0.613600543908924,0.315857676120528,0.176767676767677,0.423324119669574,0.324955116696589,"2m","calcarine"
"35",0.597141690354362,0.40132695696661,0.196969696969697,0.304500472892839,0.345302214242968,"2m","calcarine"
"36",0.695264030722726,0.843944416639263,0.186868686868687,0.486406020596913,0.228007181328546,"3m","calcarine"
"37",0.654500915281571,0.269452747918464,0.151515151515152,0.578206335389815,0.40394973070018,"4m","calcarine"
"38",0.776130865432836,0.496784522810805,0.161616161616162,0.439022874699577,0.301615798922801,"2m","calcarine"
"39",0.772097234269507,0.564944671308887,0.207070707070707,0.471741880316151,0.269299820466786,"2m","calcarine"
"40",0.769889639169328,0.598298268825974,0.151515151515152,0.540570195635657,0.439856373429084,"4m","calcarine"
"41",0.719042480111492,0.342832965185347,0.257575757575758,0.305340487849015,0.309395571514063,"2m","calcarine"
"42",0.791939191418572,0.522053307500177,0.207070707070707,0.505888322937543,0.621783363255536,"2m","calcarine"
"43",0.768299245101836,0.560433350888591,0.202020202020202,0.556930673688075,0.322561340514662,"3m","calcarine"
"44",0.8056764854282,0.615031727814438,0.217171717171717,0.559891215516315,0.409335727109515,"4m","calcarine"
"45",0.974051716566838,0.341785232321039,0.252525252525253,0.333979027583094,0.453620586475164,"2m","calcarine"
"46",0.924477413292275,0.54796472069336,0.272727272727273,0.325298416986532,0.353680430879713,"2m","calcarine"
"47",0.852804641612336,0.808630381256315,0.227272727272727,0.456683799874067,0.474566128067026,"2m","calcarine"
"48",1,0.275737797470591,0.237373737373737,0.261245189275054,0.483542788749252,"1m","calcarine"
"49",0.874964289504519,0.360219787223332,0.227272727272727,0.467357107861281,0.570317175344105,"2m","calcarine"
"50",0.666862532924114,0.458265479796216,0.156565656565657,0.514686444605184,0.327947336923997,"3m","calcarine"
"51",0.96460940122541,0.324746006736084,0.262626262626263,0.252113765647161,0.542190305206463,"1m","calcarine"
"52",0.818386058041815,0.436879805366804,0.166666666666667,0.663025724058897,0.528426092160383,"4m","calcarine"
"53",0.778539875401009,0.493887261112688,0.328282828282828,0.302087630039918,0.31837223219629,"1m","calcarine"
"54",0.861196994666855,0.444196388007979,0.247474747474747,0.538347212000609,0.32555356074207,"3m","calcarine"
"55",0.789956776457034,0.618610395067071,0.207070707070707,0.638299817006781,0.40394973070018,"4m","calcarine"
"56",0.59647307902977,0.424248014458864,0.262626262626263,0.255326268929898,0.417115499700778,"2m","calcarine"
"57",0.720551463059042,0.332457880568316,0.212121212121212,0.29798597540003,0.488928785158588,"2m","calcarine"
"58",0.712625474888791,0.41629045627087,0.207070707070707,0.488739129641246,0.523638539796529,"2m","calcarine"
"59",0.788766648389347,0.672387810514944,0.661616161616162,0.631508750100834,0.324356672651107,"4m","calcarine"
"60",0.616323073500489,0.409087267076878,0.666666666666667,0.216505034490853,0.19868342309994,"1m","calcarine"
