"","SulcalDepth","SulcalWidth","Curvature","R1_gray","Thickness","AgeCat","ROI"
"1",0.76312975732949,0.355360707137784,0.639175257731959,0.373784366390718,0.45694991558807,"1m","calcarine"
"2",0.841822103366653,0.440015703838825,0.639175257731959,0.472376505239227,0.366910523353967,"2m","calcarine"
"3",0.848722853688802,0.435344132373905,0.56701030927835,0.660542027145125,0.359032076533483,"2m","calcarine"
"4",0.647325293414873,0.424633240234301,0.618556701030928,0.380345702692048,0.297692740574001,"1m","calcarine"
"5",0.740378638267795,0.39702467869226,0.536082474226804,0.647875506088888,0.405740011254924,"2m","calcarine"
"6",0.475333715574299,0.306755005391015,0.597938144329897,0.198900653553537,0.407428249859314,"1m","calcarine"
"7",0.678716885907782,0.263892374876617,0.484536082474227,0.453799703073277,0.654473832301632,"2m","calcarine"
"8",0.506248069779912,0.390732269854744,0.515463917525773,0.540627462907014,0.446820483961733,"2m","calcarine"
"9",0.610518016753084,0.318414603391666,0.587628865979381,0.401943892267503,0.619020821609454,"2m","calcarine"
"10",0.591382686003988,0.39334368153473,0.577319587628866,0.459960037882459,0.522791221159257,"2m","calcarine"
"11",0.55313127022097,0.418224072544904,0.587628865979381,0.590146322340163,0.38716938660664,"2m","calcarine"
"12",0.909357289111857,0.388644877233528,0.54639175257732,0.328308262658078,0.432751828925155,"1m","calcarine"
"13",0.708850216287604,0.423285768395967,0.56701030927835,0.416934716431111,0.464828362408554,"2m","calcarine"
"14",0.861947072114016,0.497398600232497,0.45360824742268,0.603017695897105,0.384355655599325,"2m","calcarine"
"15",0.566472098143555,0.289942988440312,0.515463917525773,0.507153140144741,0.374226223972988,"2m","calcarine"
"16",0.677653514334254,0.290767887196209,0.45360824742268,0.610729986071741,0.465391108610017,"2m","calcarine"
"17",0.430945601738958,0.286257082803734,0.525773195876289,0.284400286399025,0.57175014068655,"1m","calcarine"
"18",0.455446675752878,0.317395235484775,0.56701030927835,0.526269653807518,0.428812605514913,"2m","calcarine"
"19",0.42625011947276,0.358287585897543,0.536082474226804,0.807096711349458,0.629712999437254,"2m","calcarine"
"20",0.632789948637413,0.331493977264832,0.443298969072165,0.512139301286729,0.432189082723692,"2m","calcarine"
"21",0.646859017719361,0.234107379369172,0.731958762886598,0.390114619581577,0.30106921778278,"1m","calcarine"
"22",0.660718092193419,0.662410007491693,0.505154639175258,0.65827287757065,0.24366910523354,"2m","calcarine"
"23",0.765592443382367,0.422176478501023,0.536082474226804,0.352936964065416,0.557118739448509,"1m","calcarine"
"24",0.654876653370688,0.236643215588712,0.381443298969072,0.501635772733799,0.477208778840743,"2m","calcarine"
"25",0.376383631717199,0.236859919974935,0.525773195876289,0.290375569017138,0.412492965672482,"2m","calcarine"
"26",0.745337628727235,0.515394646032679,0.515463917525773,0.499383831896457,0.364659538548115,"2m","calcarine"
"27",0.67626321372692,0.522198973924562,0.432989690721649,0.674939022908012,0.512661789532921,"3m","calcarine"
"28",0.667324070508493,0.583195474176886,0.443298969072165,0.833327752466019,0.571187394485087,"4m","calcarine"
"29",0.707393896433147,0.230132063699103,0.618556701030928,0.308921995866202,0.371975239167136,"1m","calcarine"
"30",0.63071517617602,0.681719479960143,0.505154639175258,0.690866615304598,0.464828362408554,"2m","calcarine"
"31",0.704231066173525,0.573237543541175,0.494845360824742,0.833213921557352,0.496904895891953,"4m","calcarine"
"32",0.744634236256844,0.359149297118174,0.484536082474227,0.623270236671306,0.357906584130557,"2m","calcarine"
"33",0.864463515448652,0.465655486251741,0.443298969072165,0.675067780578562,0.342149690489589,"2m","calcarine"
"34",0.697371486579825,0.312927257741215,0.505154639175258,0.614469399080639,0.341024198086663,"2m","calcarine"
"35",0.494429012504253,0.358372603637022,0.608247422680412,0.350230941461032,0.388294879009567,"2m","calcarine"
"36",0.461354702277386,0.441553711332561,0.432989690721649,0.632485343213878,0.344400675295442,"3m","calcarine"
"37",0.502912192932166,0.515687091431933,0.443298969072165,0.762750623671489,0.401800787844682,"4m","calcarine"
"38",0.571960866200907,0.429076646251327,0.494845360824742,0.593591931035703,0.395610579628587,"2m","calcarine"
"39",0.511379782239528,0.472534787607488,0.412371134020618,0.621396279292231,0.398987056837366,"2m","calcarine"
"40",0.46470446505202,0.516789394697525,0.474226804123711,0.716513571637319,0.492965672481711,"4m","calcarine"
"41",0.810215725102519,0.380635820637305,0.505154639175258,0.403739890275673,0.419808666291502,"2m","calcarine"
"42",0.805761663552018,0.758457093469636,0.525773195876289,0.627109586977368,0.620709060213844,"2m","calcarine"
"43",0.850784633436204,0.526197000194226,0.474226804123711,0.730547719421069,0.350590883511536,"3m","calcarine"
"44",0.824205376232973,1,0.484536082474227,0.76603657758647,0.572875633089477,"4m","calcarine"
"45",0.8869320432365,0.320785966501704,0.536082474226804,0.388970922111273,0.513787281935847,"2m","calcarine"
"46",1,0.533836321037227,0.628865979381443,0.372393930346574,0.442881260551491,"2m","calcarine"
"47",0.956618089898807,0.669429627496251,0.515463917525773,0.583977691020357,0.592571750140686,"2m","calcarine"
"48",0.900600936931898,0.287357914146082,0.556701030927835,0.202981246212564,0.517163759144626,"1m","calcarine"
"49",0.515635867451095,0.407046260489741,0.494845360824742,0.659468409969599,0.333145751266179,"2m","calcarine"
"50",0.737226039681034,0.371731318731307,0.54639175257732,0.700079025916045,0.375914462577378,"3m","calcarine"
"51",0.700381490070935,0.239063308693402,0.670103092783505,0.282390311467776,0.393922341024198,"1m","calcarine"
"52",0.762766367668732,0.472890402035386,0.432989690721649,0.984116982650435,0.491840180078784,"4m","calcarine"
"53",0.93700194801082,0.621578381316106,0.577319587628866,0.362242469526899,0.448508722566123,"1m","calcarine"
"54",0.846924257376397,0.373327793644863,0.54639175257732,0.740026773274614,0.465391108610017,"3m","calcarine"
"55",0.836118306011966,0.612503658495332,0.577319587628866,0.877796381519157,0.556555993247046,"4m","calcarine"
"56",0.619355979300716,0.428308383824683,0.639175257731959,0.406725820103292,0.439504783342712,"2m","calcarine"
"57",0.718639569610455,0.371830235132114,0.56701030927835,0.344281678926555,0.429938097917839,"2m","calcarine"
"58",0.734813456826186,0.445842546794791,0.474226804123711,0.634884909761028,0.509285312324142,"2m","calcarine"
"59",0.78043457826556,0.527227758231825,0.474226804123711,0.754730221616113,0.613956105796286,"4m","calcarine"
"60",0.751551308618468,0.182563541991896,0.412371134020618,0.295713589175133,0.498030388294879,"1m","calcarine"
"61",0.689521131908254,0.436641695184224,0.628865979381443,0.286973088262364,0.407990996060777,"1m","calcarine"
"62",0.864109301783585,0.461476907260405,0.412371134020618,0.603225453046182,0.52335396736072,"2m","calcarine"
"63",0.525195574630798,0.323247113404281,0.608247422680412,0.633735820428473,0.473269555430501,"3m","calcarine"
"64",0.777225623820182,0.399766269982802,0.56701030927835,0.232334439947546,0.337647720877884,"1m","calcarine"
"65",0.695800018895549,0.361996457513386,0.505154639175258,0.560893688575471,0.432751828925155,"2m","calcarine"
"66",0.477398824817483,0.284822448798177,0.628865979381443,0.319942635316575,0.527855936972425,"1m","calcarine"
"67",0.639357923255549,0.298690276731792,0.721649484536083,0.545107088158813,0.449071468767586,"2m","calcarine"
"68",0.753162079202961,0.461740950520106,0.608247422680412,0.2237890479186,0.561057962858751,"2m","calcarine"
"69",0.861038963251287,0.660519601436087,0.515463917525773,0.491593787589542,0.564997186268993,"2m","calcarine"
"70",0.93277858811034,0.239812102192375,0.443298969072165,0.233844304001236,0.492965672481711,"2m","calcarine"
"71",0.917100372575721,0.276668301154372,0.391752577319588,0.506779717158352,0.693866066404052,"2m","calcarine"
"72",0.778392450053415,0.294396643205909,0.463917525773196,0.232479891519349,0.545863815419246,"1m","calcarine"
"73",0.837162513443052,0.2841994206912,0.484536082474227,0.570582572836093,0.449071468767586,"2m","calcarine"
"74",0.908287583475307,0.579524073569708,0.65979381443299,0.284082430901407,0.425998874507597,"1m","calcarine"
"75",0.619055766613816,0.269194141155081,0.463917525773196,0.672948956123641,0.469330332020259,"3m","calcarine"
"76",0.724251768450718,0.516915697500854,0.494845360824742,0.846899320212096,0.429938097917839,"4m","calcarine"
"77",0.52328978851312,0.400100429134033,0.484536082474227,0.406650347946263,0.385481148002251,"2m","calcarine"
"78",0.630449556458139,0.365386185484709,0.608247422680412,0.646740310367836,0.325267304445695,"2m","calcarine"
"79",0.666644551941445,0.487914083009335,0.484536082474227,0.73721811744194,0.326392796848621,"4m","calcarine"
"80",0.419169704442437,0.287766210960344,0.608247422680412,0.201557634561784,0.442881260551491,"1m","pos"
"81",0.546433287401091,0.407085015306533,0.639175257731959,0.373351438116804,0.396173325830051,"2m","pos"
"82",0.52775326975572,0.48607921434661,0.525773195876289,0.536222899334989,0.461451885199775,"2m","pos"
"83",0.657443849419844,0.288920571207091,0.56701030927835,0.220229921390266,0.481148002250985,"1m","pos"
"84",0.661236419806731,0.411361487346789,0.474226804123711,0.520365178515932,0.623522791221159,"2m","pos"
"85",0.781171751894505,0.190638494298872,0.628865979381443,0.144184769420942,0.458638154192459,"1m","pos"
"86",0.611770269731694,0.263625300340611,0.536082474226804,0.386965093696025,0.379853685987619,"2m","pos"
"87",0.882807996348881,0.336929171594537,0.618556701030928,0.521470725951846,0.541361845807541,"2m","pos"
"88",0.502433330513046,0.322033254629958,0.402061855670103,0.226993205543925,0.441193021947102,"2m","pos"
"89",0.735714906867648,0.425664598717308,0.54639175257732,0.33503090956347,0.551491277433877,"2m","pos"
"90",0.703458406192365,0.329640239132734,0.443298969072165,0.523818043614475,0.581316826111424,"2m","pos"
"91",0.761779977763815,0.216792309029401,0.350515463917526,0.191056492342728,0.556555993247046,"1m","pos"
"92",0.838272252898744,0.247408131175234,0.45360824742268,0.310402729949254,0.500281373100732,"2m","pos"
"93",0.84125099274632,0.282801543872173,0.381443298969072,0.434194898886442,0.69893078221722,"2m","pos"
"94",0.817670776612711,0.41919463952618,0.587628865979381,0.467034961238355,0.446820483961733,"2m","pos"
"95",0.848714245977466,0.47666279860383,0.505154639175258,0.55537611244728,0.574001125492403,"2m","pos"
"96",0.784089182596454,0.3151207681597,0.484536082474227,0.22864779413767,0.500844119302195,"1m","pos"
"97",0.815604693094791,0.378351189455188,0.432989690721649,0.378250720704137,0.448508722566123,"2m","pos"
"98",0.839210813424244,0.392066504537015,0.309278350515464,0.663305895734909,0.749015194147439,"2m","pos"
"99",0.721981212066569,0.290167866527152,0.391752577319588,0.376836024758485,0.442881260551491,"2m","pos"
"100",0.757574158044251,0.210701667758233,0.463917525773196,0.287368593533636,0.471018570624648,"1m","pos"
"101",0.774824247253528,0.380931851082033,0.463917525773196,0.541085691190058,0.498030388294879,"2m","pos"
"102",0.699318849246034,0.487565331821936,0.54639175257732,0.298941697104715,0.378728193584693,"1m","pos"
"103",0.776864832736283,0.411005454101873,0.422680412371134,0.462535640035547,0.491840180078784,"2m","pos"
"104",0.673208791243715,0.281611532708092,0.649484536082474,0.210662955831687,0.325267304445695,"2m","pos"
"105",0.646269148946967,0.596133592351043,0.628865979381443,0.386045120244303,0.296567248171075,"2m","pos"
"106",0.852518753571471,0.579315615930303,0.505154639175258,0.595682766507611,0.603826674169949,"3m","pos"
"107",0.893974495100804,0.572504900303303,0.474226804123711,0.785472192093114,0.675858187957231,"4m","pos"
"108",0.569267559730146,0.264820898833951,0.505154639175258,0.20506202499172,0.283624085537423,"1m","pos"
"109",0.595766018546466,0.546214339136995,0.422680412371134,0.577795169567667,0.500844119302195,"2m","pos"
"110",0.583276050415095,0.462691110677419,0.350515463917526,0.788454803316484,0.645469893078222,"4m","pos"
"111",0.737572457615528,0.317121622749762,0.391752577319588,0.541324961165025,0.450759707371975,"2m","pos"
"112",0.802144657097977,0.292983667398801,0.371134020618557,0.561239741773351,0.424873382104671,"2m","pos"
"113",0.831285669500241,0.451676824951467,0.391752577319588,0.50746664388773,0.501406865503658,"2m","pos"
"114",0.66754843826579,0.340386372397668,0.597938144329897,0.237499224789353,0.482836240855374,"2m","pos"
"115",0.736691877080467,0.404074857814524,0.34020618556701,0.550969472138634,0.54473832301632,"3m","pos"
"116",0.74198364324392,0.514433022698457,0.432989690721649,0.691334795921771,0.673044456949916,"4m","pos"
"117",0.810646514445815,0.3915412442569,0.505154639175258,0.476408477215236,0.464828362408554,"2m","pos"
"118",0.776818627488689,0.387366171483188,0.484536082474227,0.565819926995437,0.559932470455824,"2m","pos"
"119",0.835387303981771,0.455507361924019,0.360824742268041,0.692497152714083,0.782779966235228,"4m","pos"
"120",0.74351304698685,0.237429205397513,0.443298969072165,0.296361844077,0.414181204276871,"2m","pos"
"121",0.748669364268734,0.342509546093831,0.412371134020618,0.451191961942553,0.568936409679235,"2m","pos"
"122",0.822413601206107,0.432845638274562,0.422680412371134,0.689505417068337,0.492965672481711,"3m","pos"
"123",0.778089557557522,0.450217622039693,0.391752577319588,0.745953229971079,0.678109172763084,"4m","pos"
"124",0.565926485728685,0.20361159680853,0.474226804123711,0.305446634526901,0.556555993247046,"2m","pos"
"125",0.667164503856877,0.24345444676959,0.494845360824742,0.263230774222858,0.270118176702307,"2m","pos"
"126",0.756770965338481,0.292516450080854,0.422680412371134,0.473292540892196,0.381541924592009,"2m","pos"
"127",0.551970696818623,0.204252749116213,0.649484536082474,0.245752781404317,0.453573438379291,"1m","pos"
"128",0.690729534690018,0.243405118444767,0.432989690721649,0.634181191729014,0.698368036015757,"2m","pos"
"129",0.794464263215155,0.448638479804983,0.391752577319588,0.543180464460719,0.4946539110861,"3m","pos"
"130",0.703024531049694,0.222425662189321,0.443298969072165,0.130308617115624,0.559932470455824,"1m","pos"
"131",0.522483022785458,0.470535899201159,0.443298969072165,0.968488582950837,0.781091727630838,"4m","pos"
"132",0.645548297357496,0.313931457985315,0.525773195876289,0.232472113323225,0.429938097917839,"1m","pos"
"133",0.688681640869506,0.375602719694437,0.432989690721649,0.62123268671292,0.465391108610017,"3m","pos"
"134",0.736709173564977,0.497325455320916,0.381443298969072,0.841522736063835,0.712999437253798,"4m","pos"
"135",0.685387990086782,0.232813155813732,0.525773195876289,0.177656810207965,0.522791221159257,"2m","pos"
"136",0.719818982396999,0.371262505960247,0.536082474226804,0.256196387235226,0.362971299943725,"2m","pos"
"137",0.763317907985945,0.446248897449569,0.463917525773196,0.562171953013072,0.553179516038267,"2m","pos"
"138",0.781258478183758,0.530102430674665,0.391752577319588,0.731186749020556,0.739448508722566,"4m","pos"
"139",0.691750923724634,0.189569114281394,0.680412371134021,0.178696524745106,0.498593134496342,"1m","pos"
"140",0.478996602687986,0.290361773448027,0.515463917525773,0.138172992591943,0.353404614518852,"1m","pos"
"141",0.683327266016551,0.431850703334627,0.350515463917526,0.55087824182935,0.453573438379291,"2m","pos"
"142",0.759527448783101,0.411393960049323,0.412371134020618,0.569475157380806,0.526167698368036,"3m","pos"
"143",0.729394524563958,0.265314447614989,0.639175257731959,0.212119739610483,0.334833989870568,"1m","pos"
"144",0.763758198253475,0.34723349196654,0.505154639175258,0.512665119172053,0.483398987056837,"2m","pos"
"145",0.821469275072238,0.274842613186314,0.494845360824742,0.332564577847171,0.513787281935847,"1m","pos"
"146",0.760021009109873,0.400416212230283,0.587628865979381,0.484299081492439,0.500281373100732,"2m","pos"
"147",0.586737306935819,0.413250851718451,0.515463917525773,0.108638893181893,0.411367473269555,"2m","pos"
"148",0.65811662793349,0.534762812533388,0.525773195876289,0.400660862119396,0.396736072031514,"2m","pos"
"149",0.487414657251973,0.235997105869488,0.505154639175258,0.147839067535934,0.548677546426562,"2m","pos"
"150",0.573695798316938,0.315066504985868,0.577319587628866,0.413318881426382,0.495779403489027,"2m","pos"
"151",0.703603112472057,0.193000924902107,0.443298969072165,0.140147200344055,0.576252110298255,"1m","pos"
"152",0.763329520264519,0.268829241680801,0.54639175257732,0.454495542029163,0.542487338210467,"2m","pos"
"153",0.566824525382824,0.254799180815177,0.628865979381443,0.203779099202237,0.348902644907147,"1m","pos"
"154",0.752130620789458,0.525967047229658,0.494845360824742,0.556377572591407,0.566685424873382,"3m","pos"
