calcarine,pos,insula,central,cos,sts,sfs,ips,loc,ifs,ots_lat,its
6.00586128234863,3.98610711097717,6.22752141952515,5.04430866241455,5.41211605072021,4.55757665634155,4.63463449478149,3.19669461250305,4.07430458068848,3.53567886352539,3.05916523933411,1.56002867221832
6.46794748306274,4.73340654373169,6.01741456985474,5.53958606719971,5.95869016647339,5.10719347000122,5.26315641403198,3.90838003158569,4.32489585876465,4.4004602432251,3.46533465385437,1.89438700675964
6.50846910476685,4.62371635437012,5.97604703903198,5.71175003051758,6.81880283355713,5.35950040817261,5.47594547271729,3.90273499488831,4.66925096511841,4.98652648925781,3.96736860275269,2.12264204025269
5.32585048675537,5.38526725769043,6.63999032974243,4.48536396026611,4.11799335479736,5.09172344207764,4.86994028091431,5.22193241119385,4.18722057342529,4.40234184265137,3.95336389541626,2.25705432891846
5.87226533889771,5.40753746032715,7.0671911239624,5.0801305770874,5.41983556747437,5.85700511932373,5.60274505615234,5.79978561401367,5.41122341156006,5.55753135681152,4.77540445327759,2.9512882232666
4.31590557098389,6.1118049621582,6.24966955184937,4.68025302886963,4.53030729293823,4.7454400062561,5.27522897720337,4.72208499908447,2.39040517807007,4.44183969497681,3.46463227272034,2.28323006629944
5.51018381118774,5.11706924438477,6.15336179733276,5.25802040100098,5.76141738891602,5.09239149093628,5.81715631484985,5.4968523979187,3.0957043170929,5.40366125106812,3.79804015159607,2.79876828193665
4.4974365234375,6.70861911773682,6.7542200088501,5.21209573745728,5.75491046905518,5.34033250808716,5.66940498352051,5.30901288986206,3.44397497177124,5.77200555801392,4.52206420898438,2.62284636497498
5.10971593856812,4.47503614425659,6.31595802307129,4.65939998626709,4.9432806968689,4.82177400588989,5.17502498626709,6.69829654693604,2.68117666244507,4.05501842498779,3.70288634300232,2.35041904449463
4.9973521232605,5.84487962722778,6.18563270568848,5.26164102554321,5.52590942382812,5.09064435958862,5.68733024597168,6.87338161468506,3.23538541793823,5.21532249450684,4.13323020935059,3.31680488586426
4.77273750305176,5.65546751022339,6.41377305984497,5.11206483840942,5.91970443725586,5.21010637283325,6.16887235641479,7.03225088119507,2.56378722190857,5.739173412323,4.35529899597168,3.25155639648438
6.86451816558838,5.99793529510498,6.49547863006592,4.50917339324951,3.79544043540955,4.51264905929565,4.51484203338623,4.21841907501221,2.45198893547058,2.91388845443726,2.84918999671936,2.5312340259552
5.68712854385376,6.44710254669189,6.52595186233521,5.02348661422729,3.65080118179321,5.33192300796509,5.18308687210083,5.1460976600647,3.14833760261536,3.80592823028564,3.66548943519592,2.47615432739258
6.58612251281738,6.4645938873291,6.74832963943481,5.23264122009277,4.48148107528687,5.81743478775024,5.69147682189941,5.40554428100586,3.55660724639893,4.1629467010498,4.13459920883179,2.56697487831116
4.85107564926147,6.32612943649292,6.16768980026245,5.77842330932617,5.91567516326904,5.36857032775879,4.9598183631897,5.52481555938721,2.00374388694763,5.66848754882812,3.54875087738037,2.84070992469788
5.50393962860107,6.50841856002808,6.51541090011597,5.85712146759033,6.48910188674927,5.48509883880615,5.2645149230957,5.48335361480713,2.45635962486267,6.05077171325684,3.60237622261047,2.62479281425476
4.05525588989258,6.12893629074097,5.73621511459351,4.72979307174683,4.45996570587158,5.43002033233643,3.72184777259827,5.52438545227051,2.34616303443909,3.94015097618103,4.08957767486572,1.87688732147217
4.19912767410278,6.31399726867676,5.82669401168823,5.19053602218628,4.56330442428589,5.47964525222778,4.37072229385376,5.78556156158447,3.07818675041199,4.70965766906738,4.37774753570557,2.11631512641907
4.0276837348938,6.45261383056641,6.10036325454712,5.25673961639404,5.17572402954102,5.68798208236694,4.49300289154053,5.97560596466064,2.99769043922424,4.83498668670654,4.77364301681519,2.23472738265991
5.24049806594849,5.76423454284668,6.75826168060303,6.21325206756592,5.30184316635132,5.40932703018188,4.79342079162598,5.08682680130005,4.02385330200195,2.99361300468445,3.83527183532715,2.73687529563904
5.32311248779297,5.97323846817017,6.34346771240234,4.57111978530884,5.61511421203613,5.25249290466309,3.73952460289001,6.47974109649658,1.79135644435883,3.77990293502808,2.4392786026001,1.74724745750427
5.40449380874634,6.07453203201294,6.26575088500977,4.80154228210449,4.9320912361145,4.82814502716064,4.70151567459106,5.60771751403809,4.21434831619263,4.65431118011475,3.38407397270203,2.93274760246277
6.02032232284546,5.63115978240967,6.56427574157715,4.94694232940674,3.80710601806641,3.9092857837677,3.80988693237305,5.28190803527832,3.40038847923279,4.59487342834473,3.39764070510864,2.68426823616028
5.370192527771,6.08651447296143,6.02039527893066,5.42256593704224,5.45509004592896,5.65277338027954,5.70245313644409,7.37108421325684,3.23056554794312,5.54690837860107,4.03869485855103,1.64051914215088
3.73486471176147,5.47783994674683,5.32716608047485,4.93286037445068,4.49456882476807,4.59510087966919,4.5398736000061,4.63421535491943,3.00087666511536,4.19349050521851,3.44037938117981,2.08105158805847
5.90138483047485,5.31964874267578,6.50230598449707,5.85752820968628,5.05958366394043,5.29772806167603,4.76250219345093,4.64149713516235,3.11107301712036,4.79864311218262,3.11938190460205,2.52428507804871
5.49577569961548,6.53075885772705,6.45967054367065,5.44707536697388,6.12284755706787,6.2591438293457,5.15280055999756,6.34674072265625,3.86935138702393,5.55190372467041,4.07411956787109,3.38024592399597
5.44328451156616,6.77418947219849,6.42296934127808,5.62942838668823,5.62984657287598,6.28888845443726,5.19306373596191,6.59969139099121,4.03166675567627,5.75075006484985,3.87768054008484,3.47236752510071
5.67857694625854,4.86749076843262,5.91705989837646,4.17319631576538,2.48198199272156,3.9951536655426,4.03185701370239,5.51545715332031,3.23591446876526,4.78935861587524,2.89966893196106,1.79564595222473
5.2283148765564,5.02309131622314,5.98306560516357,4.63109111785889,3.88374400138855,5.21440458297729,4.81976175308228,6.87544631958008,1.72410607337952,4.57583093643188,4.32436943054199,2.41345596313477
5.66000461578369,4.94974946975708,6.09690952301025,5.04871940612793,5.15209007263184,5.5597186088562,5.23665571212769,6.87871170043945,4.41992235183716,5.02523946762085,4.70046901702881,2.50432753562927
5.8972544670105,5.85578727722168,6.1382794380188,5.48423862457275,6.37335300445557,5.32048320770264,5.35412073135376,6.11942291259766,3.74016261100769,6.20086908340454,4.2167911529541,2.12734889984131
6.60089921951294,6.2349591255188,6.13237428665161,5.08668231964111,6.65271615982056,5.54951620101929,5.72162199020386,6.2707314491272,4.19611787796021,6.03875255584717,5.01761817932129,2.17838144302368
5.6197247505188,6.40607690811157,6.41068363189697,5.35940790176392,5.04739809036255,5.69596576690674,5.39521455764771,6.54243087768555,4.24424600601196,5.07154226303101,3.73778462409973,3.10323548316956
4.42803430557251,5.44460201263428,6.22442531585693,4.67475032806396,4.97062063217163,4.43105602264404,4.35423803329468,5.81012582778931,1.52471733093262,5.15268135070801,3.17568898200989,2.63294410705566
4.23381996154785,5.85061645507812,6.58271408081055,4.68289089202881,5.74388217926025,5.29202556610107,5.07538461685181,6.57257843017578,2.56304621696472,6.10447931289673,4.56992149353027,3.01971077919006
4.47784805297852,5.88169002532959,6.44493293762207,4.75317144393921,5.64272260665894,5.41575908660889,5.17873239517212,6.56189203262329,2.68353009223938,6.37783336639404,4.58020162582397,3.34557008743286
4.88330602645874,6.28488254547119,6.04858160018921,5.48445749282837,5.39527750015259,5.17774963378906,4.14901304244995,6.44525575637817,3.25374293327332,5.9545636177063,4.66801071166992,2.74305510520935
4.52757024765015,6.08624315261841,6.53587627410889,5.22137975692749,5.6148042678833,5.6193995475769,4.28998804092407,6.72683477401733,4.19152736663818,6.13437557220459,4.66928100585938,3.08411884307861
4.25348997116089,6.43016195297241,6.76686143875122,5.29846954345703,5.93244123458862,5.85775899887085,4.97097873687744,6.52882671356201,3.96462464332581,6.23254632949829,5.23354911804199,3.31227087974548
6.28235292434692,5.89067077636719,6.30544090270996,5.00016784667969,5.60727739334106,5.339524269104,3.73342895507812,4.35642719268799,3.36571335792542,4.62800407409668,2.59815883636475,2.80866360664368
6.25619840621948,5.92094898223877,6.25972414016724,4.88627624511719,6.98811101913452,5.13160085678101,5.61182546615601,5.93010759353638,3.90624451637268,5.94894981384277,2.83172035217285,3.453284740448
6.52057600021362,6.35397958755493,6.16580152511597,5.11694383621216,7.03930807113647,5.75561141967773,5.8156213760376,5.55657625198364,4.34872722625732,6.43705463409424,3.4927339553833,3.75718784332275
6.36450099945068,6.09370613098145,6.24392986297607,5.40026950836182,7.0674090385437,5.75340843200684,6.08832168579102,6.43404340744019,4.36026430130005,6.51113605499268,3.34843301773071,3.55054330825806
6.73283576965332,4.84787178039551,6.52060890197754,5.21949243545532,4.10690355300903,4.37515306472778,4.32156324386597,6.79170560836792,3.57068228721619,5.43073797225952,2.6445779800415,3.05332326889038
7.39677762985229,5.44234752655029,6.10908031463623,4.44202613830566,5.9036922454834,5.06747341156006,4.36079263687134,5.40155935287476,3.18798613548279,5.68939256668091,3.33361411094666,1.80180335044861
7.14203643798828,5.96852207183838,6.23910665512085,5.98455142974854,6.39746427536011,5.46510457992554,4.79849720001221,6.22542476654053,3.76196432113647,6.03431415557861,3.73130917549133,2.63019561767578
6.81310033798218,4.76592254638672,5.52891731262207,4.62558841705322,4.06185150146484,4.54923629760742,4.1035361289978,6.50780725479126,2.63199329376221,5.7825927734375,2.52512574195862,2.08727192878723
4.55256223678589,5.58072280883789,6.06569576263428,4.91445636749268,5.55797529220581,5.67812252044678,5.11331987380981,6.02930545806885,3.47536206245422,6.99036455154419,2.84227871894836,3.31935453414917
5.85375308990479,6.18985939025879,6.26500082015991,5.19863605499268,5.23264932632446,5.96737337112427,4.57739543914795,6.85137176513672,3.46372365951538,5.64585256576538,4.29775810241699,2.38707280158997
5.63739967346191,5.65291976928711,5.87709474563599,4.54934930801392,4.98922157287598,5.07807445526123,3.84863448143005,4.35688495635986,3.30108070373535,4.31789922714233,2.333340883255,2.2590913772583
6.00372743606567,4.59276914596558,6.45324230194092,4.9349217414856,5.72507762908936,5.43907880783081,5.82819795608521,6.09502744674683,3.75973033905029,5.46563959121704,4.50678443908691,3.67981767654419
7.02684926986694,5.31541585922241,6.12237501144409,4.95356607437134,4.34130573272705,4.88239765167236,4.51243448257446,4.10081052780151,2.86418390274048,4.58292770385742,4.34283971786499,2.8795337677002
6.4979076385498,5.56869745254517,6.5681586265564,5.98199462890625,5.22068738937378,5.60378217697144,5.48815679550171,5.72097301483154,4.53822326660156,5.85612201690674,5.1775689125061,3.57431554794312
6.43445444107056,5.85071802139282,6.43513298034668,5.52265501022339,5.28974580764771,6.13852262496948,6.27299737930298,5.68425321578979,4.31969308853149,6.08394193649292,5.60677289962769,4.17663240432739
5.16161298751831,5.54935693740845,5.95123767852783,5.25908803939819,4.32662916183472,4.82626295089722,4.46913528442383,5.44512987136841,3.20548248291016,4.51159715652466,3.5303692817688,2.92823505401611
