EST,SE,Param,Sulcus
-0.00656913884188449,0.0495806485063933,CT,calcarine
0.59247123356321,0.0299116062706466,CU,calcarine
0.302087980921643,0.0433856539524318,R1,calcarine
-0.415509860795857,0.0269655307103944,CT,insula
0.760234663812068,0.014755560403963,CU,insula
0.73851539517912,0.0329018968591495,R1,insula
-0.108691642583661,0.0122999093320533,CT,cingulate
0.514945595168319,0.0114235782781352,CU,cingulate
0.316619252768018,0.0134780111210782,R1,cingulate
-0.456625574980566,0.0314985278459837,CT,pos
0.509531999540783,0.0220558677699775,CU,pos
-0.0818830958029672,0.0272788241722827,R1,pos
-0.244643579195653,0.0273100553307583,CT,central
0.562406535601982,0.0184830192919472,CU,central
0.218383473019765,0.02399812097952,R1,central
-0.214248144944827,0.0244554162134738,CT,precentral
0.757925588714211,0.0165255222410549,CU,precentral
0.449727056684905,0.0205852868684827,R1,precentral
-0.133718733708726,0.016657587143061,CT,cos
0.5178630975744,0.0144866924981671,CU,cos
0.322166226881516,0.0165373542486261,R1,cos
-0.567884272642434,0.0280135530642305,CT,sts
0.642642596983275,0.0108135708621249,CU,sts
0.666653185837159,0.0253864859010006,R1,sts
-0.488932914163729,0.0263224527545948,CT,postcentral
0.704360492292755,0.0215341599407619,CU,postcentral
0.886280303343945,0.0442115963065825,R1,postcentral
-0.587560115254014,0.0284396145335683,CT,sfs
0.646549147496644,0.0148947673064805,CU,sfs
0.728544387136383,0.028781756132953,R1,sfs
-0.302306247938802,0.0355469884887362,CT,ips
0.713690982324341,0.0163473660946795,CU,ips
0.401339733757182,0.0377214874131299,R1,ips
-0.307523757466988,0.03106391265496,CT,loc
0.651237187630177,0.017110820352099,CU,loc
0.404866170683772,0.0353926962936285,R1,loc
-0.200705402568042,0.030688286033607,CT,ifs
0.518125297704443,0.0144674415552037,CU,ifs
0.282546187361685,0.0327810496085672,R1,ifs
-0.437702467566678,0.0276131405097968,CT,ots
0.502957748338255,0.0122963743189965,CU,ots
0.478725425977675,0.030937064497122,R1,ots
-0.287914252642154,0.0118780690921179,CT,its
0.548666507423374,0.010319174943037,CU,its
0.370850907221535,0.0137241153190086,R1,its
