calcarine,pos,insula,central,cos,sts,sfs,ips,loc,ifs,ots_lat,its
35.6253609275911,21.7528946112475,18.3359029674978,23.8299448461904,11.4465467709224,23.2520564235082,20.6945014815908,23.444825901622,23.44313665808,21.4155174039401,20.1713848086524,17.5600238906551
53.4865910754747,26.3317992684198,20.1095312428964,29.8967513319119,18.5105498727266,28.9377516894253,34.0097582862999,30.1608713519338,32.993811487272,29.9013559920097,26.1368178368821,24.7462314395779
47.1309708175713,29.2991572843047,23.7691846525311,30.5845319130848,24.4901722133755,33.6011675115199,39.2343234883949,28.8247889662194,31.7467703655934,33.2033125386814,26.6351956660276,29.3866546489099
36.1142286196774,30.3246080969813,18.3579681152499,23.8110567864211,14.1378918803535,31.0799990246105,22.7792910103708,23.047437927039,17.8626347480971,19.0725827627267,28.8511781492356,19.2970034446626
46.6549148174009,41.410669800374,22.2214276659265,30.5909321691868,16.9491730168417,42.8445752169711,33.4703392576894,24.596003227476,26.2453666727512,26.4522664198175,33.8296043446613,24.8818470747556
29.9273585915249,35.1584090848216,18.2043089672183,30.1647773191515,14.8401277479515,29.035647426689,22.6613596801399,28.638440726188,23.0272782584756,27.4363459307316,30.972890493684,18.6874524634645
32.8066260949887,39.1923194401316,20.4353558430563,32.2351338904588,15.4577665747815,30.5903933822508,26.9857523823029,33.3582944061035,25.8950187033671,27.5175107428277,37.0506238004055,21.086655493145
39.5880503421619,46.7389230658145,21.0550356036821,31.8194501111867,19.3955357573574,35.7224077066818,30.7197351498908,39.0944784666529,23.0947192209235,29.6162719156399,38.2218732728156,23.2609010677741
36.0578289908611,35.1990066198599,18.3824548485681,23.2242928162763,16.9594083400054,24.9146608647462,18.8373714569854,27.3956212637184,17.0519418785211,19.5209195025864,20.2514471047905,17.1316993367958
37.0920183310476,40.0053964455873,20.6481397124774,26.8973848956926,15.7895145467217,30.7727579304875,26.9535787164961,33.3825741473821,19.5320976009518,25.0882945867249,20.4228298061834,19.6724956661887
36.9421145378784,37.9361854568252,22.0718729303397,26.5325847363468,25.7354414556499,35.5191250350338,29.0245323977207,31.9115338558546,17.422527413299,27.6856689112168,25.167319948888,23.4809759717428
55.8145823744459,33.4555124852577,25.1468153279967,30.5747062930726,15.0092050963321,30.8035257512993,22.7460435229544,33.2827288834423,21.0430703750857,19.9964120046032,28.1035594874728,18.4874855566575
44.0999472716479,27.7731777877788,20.1389119488645,27.9324301829301,13.0289212421131,25.9981428363093,21.3025986299419,29.2870244113096,20.6097556829688,23.8604484174224,21.6563024707143,18.3050607219342
49.3562845699702,33.6001244381715,21.5107772170358,29.8481093195662,21.5755846591819,33.3273733212695,28.034162003344,32.6017698818369,27.0046902757443,28.2391710205202,40.0733860884192,21.0189169342206
43.16712231984,43.7017228897403,18.3291986951711,30.3897284478511,14.5867248049695,32.1925580393825,21.0309490025817,39.5935491847872,30.5180270432789,32.0707530716606,39.354540317151,22.7328950634866
38.7401282958182,46.9042836273513,19.1897566186945,32.1334376397239,34.291080783773,35.5687548890696,21.5785744613539,39.7758439338735,36.8624043364566,31.9539161379225,39.3691577111386,28.3960860149062
48.8697932300214,33.582175650433,18.7391777090852,28.027750540628,13.3328814069998,29.6160024011588,22.2662689651272,32.8211586358642,17.1238412138153,20.9800094401209,30.4363813865166,21.6267544677005
37.5209878559207,37.0362141175268,21.1812967037465,31.3101684697794,15.4487496138677,32.3729376312319,24.9375603466711,36.7742445374194,19.8501646690158,22.8700760542237,29.7009359096455,24.4934462951823
