"SulcalDepth","SulcalSpan","Curvature","Thickness","R1","AgeCat","ROI"
0.774456773701571,0.275778324599702,0.612009424096967,0.44812628303723,0.27788336821921,"1m","calcarine"
0.809009148767271,0.507086900531657,0.690082665199029,0.324367213123053,0.362494782332321,"2m","calcarine"
0.843554179501996,0.505906030886762,0.56015624063713,0.494554763796676,0.515830728763988,"3m","calcarine"
0.565471618725016,0.387508482374605,0.632537164922621,0.368993965193444,0.296142093169218,"1m","calcarine"
0.680820433827205,0.41450815800799,0.613224219326895,0.486588056817326,0.449605836153202,"3m","calcarine"
0.633397950166047,0.267464193010259,0.549296465410511,0.396653665199284,0.232854861566184,"1m","calcarine"
0.577077393814961,0.285850164780543,0.573531894520666,0.501707950187614,0.365337287465621,"2m","calcarine"
0.642494181219947,0.34870939369141,0.623024444327675,0.498788615240696,0.451584193170852,"3m","calcarine"
0.605767884186413,0.304288315905186,0.61140626714125,0.505142346060324,0.466082048152745,"1m","calcarine"
0.57456147545392,0.303685797781658,0.607789415007199,0.522912932551138,0.36987392676483,"2m","calcarine"
0.586884362105795,0.375139137671876,0.752464729545811,0.375769083925042,0.413832621370073,"3m","calcarine"
0.918901749532227,0.590562481414098,0.345210989699191,0.259597809429846,0.298394853173656,"1m","calcarine"
0.995746662360994,0.387374221400584,0.477862252939343,0.694905306217575,0.320499230869452,"2m","calcarine"
0.918813063271428,0.50453702230018,0.604819109762705,0.458484746172502,0.455319199550998,"3m","calcarine"
0.636239236246393,0.45623381965899,0.650019743649078,0.376253201813235,0.401749761626237,"2m","calcarine"
0.683887662014165,0.31420112072528,0.652429667283404,0.407254046628484,0.50146398972538,"3m","calcarine"
0.448739644385069,0.467947576656533,0.733562820603831,0.287978060261145,0.234468154731197,"1m","calcarine"
0.474069410475229,0.302486383800427,0.619865460475674,0.274115298118234,0.4191768408305,"2m","calcarine"
0.477251653656664,0.399755827020996,0.602542428871396,0.444045740279475,0.564323158201345,"3m","calcarine"
0.747690013041903,0.312337448050227,0.644618250015132,0.479688884635004,0.380226139042097,"2m","calcarine"
0.681791479096813,0.263744056636675,0.719603553672457,0.279896160791836,0.329981209480955,"1m","calcarine"
0.856235760507118,0.402139580573698,0.552557225084666,0.446061257228275,0.515525068178908,"3m","calcarine"
0.719867262303455,0.273667873053144,0.716042014485229,0.285291641997214,0.326690448258854,"1m","calcarine"
0.742074717724363,0.322094284741277,0.48753648733902,0.298584208347349,0.427160529343278,"2m","calcarine"
0.580507612095925,0.244784544244906,0.631486464768267,0.436115039743867,0.251811488467467,"1m","calcarine"
0.538908628606762,0.424072645676696,0.768137960322799,0.348495468638283,0.393135388829309,"2m","calcarine"
0.714810343998243,0.375294746942259,0.544683488562974,0.540444273101282,0.519969594378722,"3m","calcarine"
0.69838093704067,0.433758207956576,0.546394625302421,0.575743387138819,0.624320873353895,"4m","calcarine"
0.832173653657253,0.353035781955755,0.696085349106131,0.338315631220031,0.255720417103605,"1m","calcarine"
0.762990610186244,0.584314657937994,0.827042929914505,0.46763488368969,0.493394965203102,"3m","calcarine"
0.795845544077478,0.465813518089994,0.555503561385543,0.468517463512007,0.626926042032895,"4m","calcarine"
0.827658830121172,0.47782450841777,0.513637683604413,0.280879164836161,0.475273580054443,"2m","calcarine"
0.837872854491845,0.405175776443308,0.53612755903044,0.171951655441959,0.525970914943096,"3m","calcarine"
0.588924353962594,0.339730122815857,0.458321049249728,0.337360897860055,0.426374663531317,"3m","calcarine"
0.597141690314748,0.342762072278101,0.558923130675919,0.333810184296026,0.309940386504352,"1m","calcarine"
0.67299851348316,0.874537969350831,0.475852549204709,0.247719058597462,0.488264016612445,"3m","calcarine"
0.6545009152093,0.218786272657001,0.4570091490687,0.440722317391594,0.581505432321629,"4m","calcarine"
0.776130865446435,0.422704127357546,0.546040991195718,0.293919264129554,0.443410607833043,"2m","calcarine"
0.772097234161331,0.485622854467391,0.724598804441385,0.313111683197867,0.475873698280086,"3m","calcarine"
0.769889639128849,0.502595942757063,0.489303551613588,0.481365153371627,0.544163666997591,"4m","calcarine"
0.704240466006114,0.359099322358503,0.635685086185252,0.326644480039873,0.311928425078996,"1m","calcarine"
0.791939191433849,0.455240842700531,0.58400152909569,0.633560312234937,0.509753062207323,"2m","calcarine"
0.75502900898144,0.631587018008688,0.517996958402514,0.334037615622351,0.540473195779617,"3m","calcarine"
0.805676485373185,0.526515758912637,0.595300489120101,0.449662323553482,0.563333564768649,"4m","calcarine"
0.957824278671077,0.348664556257828,0.605251288253901,0.466836412669567,0.33461189819096,"1m","calcarine"
0.904042020104655,0.560446162598015,0.741861729310121,0.379657920499882,0.329511792274727,"1m","calcarine"
0.835643157180306,0.739693800258713,0.63704762844204,0.469655042094134,0.459501908788115,"2m","calcarine"
1,0.245475142776297,0.646381012171612,0.519333526352253,0.267023427431615,"1m","calcarine"
0.874964289489762,0.296197354713003,0.569346671128578,0.57964502287921,0.471523221491066,"2m","calcarine"
0.637170026267934,0.492863075997923,0.460359392799051,0.339973896734784,0.518496614636135,"3m","calcarine"
0.964609401197468,0.287459840080102,0.637878428903349,0.548884830506346,0.25796342639707,"1m","calcarine"
0.841228313026402,0.365169210635947,0.533148895385085,0.53632884910114,0.71104770767009,"4m","calcarine"
0.778539875291527,0.441989241820374,0.76379970444449,0.321288802832865,0.307546414075767,"1m","calcarine"
0.839514035319615,0.666618870340179,0.722254641754945,0.352931153077525,0.542509918755141,"3m","calcarine"
0.799481819342518,0.536093922772671,0.590798261083867,0.440059292486038,0.648366403226891,"4m","calcarine"
0.596473079051693,0.358038219919503,0.70683253175655,0.432717494215938,0.261150802421275,"1m","calcarine"
0.720551462948292,0.279208616502989,0.573564590618126,0.469559540628102,0.303476840747517,"1m","calcarine"
0.712625474820091,0.344341798757392,0.578789574492865,0.500009458723989,0.492738002407113,"3m","calcarine"
0.78876664831219,0.475921935449063,0.356740912006017,0.32655362002948,0.634390937398776,"4m","calcarine"
0.616323073516597,0.299734603860316,0.233967188974532,0.24828855113938,0.222633212000373,"1m","calcarine"
0.717622183468559,0.338255722545916,0.674387186325661,0.333195121098741,0.173870736276877,"1m","calcarine"
0.672203662870751,0.46374846652271,0.498432277439906,0.45189359786442,0.493631748425572,"3m","calcarine"
0.548567393841462,0.301996790342948,0.670096376663963,0.319815210992486,0.517385171893279,"3m","calcarine"
0.638232944960839,0.223262119560162,0.633383821762019,0.458333687888973,0.214305897368304,"1m","calcarine"
0.760839829789587,0.262139155764978,0.545846289622894,0.500598079689149,0.410811007432393,"2m","calcarine"
0.422381706601842,0.168257966915435,0.652643052340492,0.291732013322103,0.254575227219229,"1m","calcarine"
0.538255052436358,0.283676892397962,0.730393757503741,0.382636047218228,0.440797002368663,"2m","calcarine"
0.68910102842632,0.450364640911209,0.684685596600838,0.311328239031026,0.239668879686186,"1m","calcarine"
0.736049317736769,0.607263533510176,0.616418726382523,0.366289403057465,0.37820310855432,"2m","calcarine"
0.860871349787395,0.18906662275877,0.627862606327619,0.59631459983233,0.199092229554695,"1m","calcarine"
